Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Calcium Ion Transmembrane Import Into Cytosol (GO:0097553)	47/83	6.613565643221837e-13	2.8047530659663515e-10	0	0	5.067667483660131	142.12011595758972	RYR1;SLC24A2;RYR2;SLC24A4;CACNA1B;ITPR1;HTR2C;CACNA1A;CACNA1D;HTR2A;CACNA1C;NALF2;CACNA1F;JPH1;NALF1;CACNA1E;CACNA1H;SLC8A2;JPH4;CACNA1I;GRIN2A;JPH3;SCN11A;SCN9A;SCN5A;CACNA1S;DRD2;SCN1A;CCL21;GP1BB;CACNA2D1;F2R;TRPV3;GRIN2C;GRIN2B;GRIN1;CACNB3;PLCB4;PTPRC;TRPV6;LCK;SCN8A;TRPV4;TRPV5;PLCH1;PLCH2;SCN2A
GO_Biological_Process_2023	Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)	75/179	7.738139223228118e-11	3.0082016230299314e-08	0	0	2.8064844521224086	65.34134216515797	ARHGAP8;HTR2C;ARRB1;TREM2;HTR2A;TNF;PYCARD;GLIPR2;FFAR4;TNFSF11;CCN2;LGALS9;FGB;FGA;F2R;FGG;OPRM1;MTURN;ADCYAP1;HAND2;XCL2;CHI3L1;CD44;S100A7;NECAB2;CCL14;CSF1R;CCL13;NDRG4;ALOX15;C5AR1;GATA4;FPR2;SLC30A10;PRKCZ;EGFR;P2RY6;CCL8;THPO;CCL7;GPNMB;ERBB4;PDGFD;CCL5;PDGFC;CCL4;CCL3;CCL2;PTK2B;ALKAL2;ALKAL1;CCL18;CCL17;SLAMF1;CCR1;CCL24;CD74;CCL23;TGFB1;CCL22;CCL21;CCL20;PLA2G2A;SCIMP;MARCO;NELL1;CD4;PTPRC;GPR183;ACKR3;F2RL1;FGFR3;HLA-DRB1;NODAL;CCL26
GO_Biological_Process_2023	G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger (GO:0007187)	31/50	2.3584828540311477e-10	8.463325010811774e-08	0	0	6.315198396381579	139.99425947271658	CHRM2;VIPR1;CHRM1;CALCRL;CHRM4;CHRM5;HTR2C;LPAR3;HTR2A;PTH1R;HTR4;HTR6;GALR3;HRH3;NPY;CCL2;DRD1;DRD4;CCR1;LHCGR;ANXA1;XCR1;HTR1E;NPY1R;HTR1A;HTR1B;OPRM1;HTR5A;TSHR;MTNR1A;MC5R
GO_Biological_Process_2023	Neurotransmitter Secretion (GO:0007269)	28/43	3.3265993927957714e-10	1.1084704405280197e-07	0	0	7.221663820444011	157.60487158648647	SNAP25;RAB3A;DOC2A;NRXN1;STXBP1;DOC2B;CPLX2;CPLX1;LIN7B;CPLX3;RIMS2;RPH3A;RIMS1;GRM4;PCLO;HRH3;OTOF;PPFIA3;SNCA;UNC13A;SLC32A1;SYT1;SYN3;SYN2;SYN1;SNPH;SYT10;STX1A
GO_Biological_Process_2023	Positive Regulation Of MAPK Cascade (GO:0043410)	110/310	7.888863176972138e-10	2.4534364480383346e-07	0	0	2.145917351257157	44.97928366624441	TNF;PYCARD;TNFSF11;CCN2;LGALS9;EPHA8;F2R;CARTPT;MTURN;ADCYAP1;DOK2;DOK6;S100A7;NECAB2;CSF1R;NDRG4;ALOX15;C5AR1;GATA4;FPR2;MST1R;SLC30A10;PRKCZ;INAVA;PIK3R5;THPO;PDGFD;PDGFC;ELANE;DRD4;SLAMF1;CCR1;TGFB1;LIF;MARCO;GH1;PTPRC;GPR183;FGFR3;HLA-DRB1;NODAL;EZH2;ARHGAP8;FLT3;DIRAS2;HTR2C;ARRB1;TREM2;HTR2A;PIK3CG;GRM4;GLIPR2;TRIM5;FFAR4;FGB;FGA;FGG;OPRM1;ADRA2C;ADRA2B;ADRA2A;IL1B;HAND2;KIT;XCL2;CHI3L1;CD44;TMEM106A;AVPI1;CCL14;CCL13;ALOX12B;THBS1;EGFR;P2RY6;CCL8;GPNMB;CCL7;ERBB4;CCL5;NTF3;CCL4;CCL3;CCL2;PTK2B;ALKAL2;ALKAL1;CCL18;CCL17;CCL24;CD74;CCL23;CCL22;CCL21;CCL20;GDF15;EGF;IL34;PLA2G2A;LAPTM5;OSM;TPD52L1;SCIMP;MOS;NELL1;CD4;RIT2;F2RL1;ACKR3;CCL26
GO_Biological_Process_2023	Calcium Ion Import Across Plasma Membrane (GO:0098703)	25/37	9.197188081691755e-10	2.681555150068253e-07	0	0	8.055521696733301	167.6108624291415	SLC24A2;SLC24A4;CACNA1B;CACNA1A;CACNA1D;CACNA1C;CACNA1F;NALF2;CACNA1E;NALF1;CACNA1H;SLC8A2;CACNA1I;SCN11A;SCN9A;CACNA1S;SCN5A;SCN1A;CACNA2D1;TRPV3;TRPV6;SCN8A;TRPV4;TRPV5;SCN2A
GO_Biological_Process_2023	External Encapsulating Structure Organization (GO:0045229)	51/110	1.2235868206156168e-09	3.3576661871599135e-07	0	0	3.3537116814424244	68.82312476404215	ECM2;HPSE2;COL14A1;DMP1;TGM1;ADAMTS3;IBSP;ADAMTS6;POSTN;MMP7;MIA;MMP1;MMP2;SPINK5;MMP9;MMP10;MMP12;MMP11;MMP14;CCDC80;MMP13;COL4A2;COL4A1;COL4A3;MMP17;COL4A6;COL8A1;MMP19;MATN4;COL17A1;NDNF;ADAMTS12;COL19A1;ADAMTS15;C6ORF15;ADAMTS13;ADAMTS19;SPOCK2;ADAMTS17;COL24A1;COL22A1;COLQ;HRNR;COL1A1;COL3A1;COL1A2;COL7A1;COL5A2;MANSC4;COL9A1;TGFBI
GO_Biological_Process_2023	Calcium Ion Transport (GO:0006816)	51/112	2.663536378469517e-09	6.849332564178474e-07	0	0	3.2433436831351856	64.03531644569179	RYR1;RYR2;PKD1;RYR3;SLC8A2;SLN;CCR5;CHRNB2;TRPC5;CACNA2D1;ANO6;CACNA2D4;CACNB1;CACNB2;CACNB3;CATSPER1;SLC24A2;SLC24A4;CALCRL;CHRNA4;CAMK2A;ITPR1;CACNA1A;CACNA1D;CACNA1C;ATP2C2;NALCN;CACNA1H;CACNG6;CYP27B1;TRPM2;CACNG8;CCL8;CCL5;CDH23;CCL3;CACNA1S;TRPM8;TRPM6;CACNG3;TRPM3;CCR1;MCOLN3;CAV1;TRPV3;ATP2B2;MCOLN2;GRIN3A;TRPV6;TRPV4;TRPV5
GO_Biological_Process_2023	Extracellular Structure Organization (GO:0043062)	50/109	2.7896531343920903e-09	6.849332564178474e-07	0	0	3.287146165134716	64.74806382648116	ECM2;HPSE2;COL14A1;DMP1;ADAMTS3;IBSP;ADAMTS6;POSTN;MMP7;MIA;MMP1;MMP2;SPINK5;TEX14;MMP9;MMP10;MMP12;MMP11;MMP14;CCDC80;MMP13;COL4A2;COL4A1;COL4A3;MMP17;COL4A6;COL8A1;MMP19;MATN4;COL17A1;NDNF;ADAMTS12;COL19A1;ADAMTS15;C6ORF15;ADAMTS13;ADAMTS19;SPOCK2;ADAMTS17;COL24A1;COL22A1;COLQ;COL1A1;COL3A1;COL1A2;COL7A1;COL5A2;MANSC4;COL9A1;TGFBI
GO_Biological_Process_2023	Regulation Of ERK1 And ERK2 Cascade (GO:0070372)	90/244	3.057668691087709e-09	7.132012221962082e-07	0	0	2.275558229236703	44.61371417661368	PTPRR;ARHGAP8;HTR2C;ARRB1;TREM2;HTR2A;TNF;PYCARD;RPS6KA6;GLIPR2;FFAR4;EMILIN1;CCN2;LGALS9;FGB;FGA;EPHA7;SYK;ADIPOQ;F2R;FGG;OPRM1;DUSP26;MTURN;CCNA2;ADCYAP1;IL1B;HAND2;XCL2;CHI3L1;CD44;S100A7;NECAB2;CCL14;CCL13;CSF1R;NDRG4;RGS14;ALOX15;C5AR1;GATA4;FPR2;SLC30A10;PRKCZ;EGFR;P2RY6;CCL8;GPNMB;THPO;CCL7;ERBB4;PDGFD;CCL5;PDGFC;CCL4;CCL3;CCL2;PTK2B;ALKAL2;ALKAL1;CCL18;FAM83D;CCL17;GBP1;SLAMF1;CCR1;LYN;CCL24;CD74;CCL23;CCL22;TGFB1;CCL21;CCL20;PLA2G2A;FN1;SCIMP;MARCO;NELL1;CD4;PTPRC;GPR183;WNK2;F2RL1;ACKR3;SPRY1;FGFR3;HLA-DRB1;NODAL;CCL26
GO_Biological_Process_2023	Synaptic Vesicle Exocytosis (GO:0016079)	26/41	3.336098877725085e-09	7.410905364089297e-07	0	0	6.70256035113387	130.8236809996979	SNAP25;RAB3A;DOC2B;CPLX2;CPLX1;STX11;CPLX3;RIMS2;RIMS1;RIMS4;PCLO;RIMS3;OTOF;SNCA;SYT5;SYT4;UNC13C;PRRT2;SYT2;UNC13A;SYT1;SYT7;STX1B;SNPH;SYT10;STX1A
GO_Biological_Process_2023	Negative Regulation Of Lymphocyte Proliferation (GO:0050672)	25/39	4.834258670704326e-09	1.0250825772198035e-06	0	0	6.903862227484851	132.19196466097165	CD86;TNFRSF13B;CD80;LST1;VTCN1;SPN;IL4I1;GPNMB;VSIG4;IL10;LYN;PLA2G2D;CD300A;PLA2G2A;SFTPD;LILRB1;SOX11;LILRB2;PDCD1LG2;HLA-G;LILRB4;TYROBP;MNDA;FCGR2B;HLA-DRB1
GO_Biological_Process_2023	Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway (GO:0007193)	30/52	5.310722389538487e-09	1.0745118311883135e-06	0	0	5.275811569441054	100.52287604887113	CHRM2;CHRM1;CHRM4;CHRM5;AKAP5;FPR2;ADCY5;GRM4;GRM7;HRH3;RGS1;INSL3;DRD2;DRD4;P2RY12;GABBR2;GABBR1;PSAPL1;HTR1E;PDE2A;NPY1R;HTR1A;HTR1B;OPRK1;OPRM1;HTR5A;ADRA2A;CORT;MARCO;MTNR1A
GO_Biological_Process_2023	Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188)	66/163	5.5280351443771765e-09	1.0745118311883135e-06	0	0	2.643237027089463	50.25701115642413	CHRM2;VIPR1;CXCL9;GPR26;GPR65;PTH1R;RIMS2;ADGRE1;MC4R;ADGRE2;GNAT2;ADGRE5;RGS1;ADGRE3;GPR171;INSL3;CCR3;LHCGR;GPR78;AVPR2;NPY1R;PTH2R;ADRA2A;ADCYAP1;CORT;MTNR1A;ADORA2A;ADGRB1;PTGER4;PTGFR;CALCA;CALCRL;GIPR;PTGER3;FPR1;CACNA1D;FPR2;ADCY1;AKAP5;CRHR1;CRHR2;ADCY5;ADGRG7;GALR3;TBXA2R;DRD1;GPHA2;DRD5;P2RY12;GABBR2;GABBR1;PSAPL1;HTR1E;PDE2A;HTR1B;OPRK1;TSHR;GNAO1;CXCL10;MARCO;CXCL11;GNAL;ADM2;MC5R;VIP;PF4
GO_Biological_Process_2023	Immunoglobulin Mediated Immune Response (GO:0016064)	21/30	7.814359073427547e-09	1.4581594031015803e-06	0	0	9.015099853872382	168.28759954495368	CD74;HLA-DRB5;FCER1G;CSF2RB;GNAO1;HLA-DMA;HLA-DMB;CD19;IL2RB;FCER1A;CD27;HLA-DRA;TLR8;HLA-DOA;FCGR2B;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DPA1;GAPT
GO_Biological_Process_2023	Cellular Defense Response (GO:0006968)	28/48	1.225253738267201e-08	2.198387957314036e-06	0	0	5.414540131739448	98.63956238258456	CX3CR1;ITK;CXCL9;FCMR;NCF1;NCF2;C5AR1;CD5L;PRF1;LY96;LSP1;KIR2DL4;SPN;IL1RL2;CLEC5A;CXCR2;PTK2B;CCR5;CCR3;CCR2;TRAT1;LILRB2;HLA-G;FOSL1;TYROBP;ADORA2A;MNDA;CD300C
GO_Biological_Process_2023	Modulation Of Chemical Synaptic Transmission (GO:0050804)	53/123	1.4056127289386615e-08	2.347461614262481e-06	0	0	2.9369485938705377	53.10063978909306	MCTP1;CLSTN3;TNF;GRM1;SLC8A2;RIMS2;GRM3;RIMS1;GRM2;PPP3CA;RIMS4;GRM5;RIMS3;GRM4;GRM7;DLGAP1;DLGAP3;DLGAP2;CHRNB2;CDKL5;UNC13A;ADIPOQ;MAPK8IP2;SYN3;DGKZ;SYN1;NPAS4;NRG3;IL1B;NPTXR;CNTNAP4;CX3CR1;GRIA2;CAMK2A;CACNA1B;CACNA1A;CPLX2;CPLX1;CPLX3;BEGAIN;RELN;OTOF;NPTX1;DRD2;HCRT;LGI1;FER1L5;IQSEC2;SYT1;GRIN3B;GRIN3A;DLG4;NMU
GO_Biological_Process_2023	Skeletal System Morphogenesis (GO:0048705)	26/43	1.4294594424021886e-08	2.347461614262481e-06	0	0	5.913277966636545	106.81381287754968	FBN2;SPEF2;HHIP;SIX1;CYP26B1;HOXA9;HOXA3;HOXC4;HOXC9;HOXA4;TFAP2A;OSR2;SOX11;TBX4;RFLNA;SFRP4;HOXB9;MMP13;HOXB4;HOXB3;HOXD4;HOXD3;DSCAML1;FGFR3;HOXD9;LTF
GO_Biological_Process_2023	Regulation Of T Cell Activation (GO:0050863)	33/62	1.4593008963260869e-08	2.347461614262481e-06	0	0	4.403854252648957	79.45752356251919	SIRPG;VTCN1;SIRPB1;PYCARD;IL4I1;HLA-DMA;HLA-DMB;FCHO1;GPNMB;SIT1;CCL5;TNFSF11;CCL2;TNFAIP8L2;HLA-DOA;HLA-DQA2;HLA-DQA1;CCR2;HLA-DPA1;TNFSF18;HLA-DRB5;SPINK5;LAPTM5;LAX1;CD2;GNAO1;CD4;LCK;HLA-DRA;TNFSF9;TNFSF8;HLA-DQB2;HLA-DRB1
GO_Biological_Process_2023	Signal Release From Synapse (GO:0099643)	24/38	1.517163225110748e-08	2.359188815047213e-06	0	0	6.626092406253264	119.29509725066995	SNAP25;RAB3A;UNC13A;SLC32A1;SYT1;NRXN1;STXBP1;CPLX2;SYN3;CPLX1;LIN7B;SYN2;SYN1;CPLX3;RIMS1;GRM4;PCLO;HRH3;SNPH;SYT10;OTOF;PPFIA3;STX1A;SNCA
GO_Biological_Process_2023	Phospholipase C-activating G Protein-Coupled Receptor Signaling Pathway (GO:0007200)	40/83	1.8745079765652032e-08	2.8208321647344105e-06	0	0	3.6030294581230335	64.10630544564711	CHRM2;CX3CR1;CALCA;CHRM1;GPR65;C5AR1;PTGER3;FPR1;HTR2C;FPR3;GPR83;HTR2A;PTH1R;FPR2;LPAR4;GRPR;GRM1;GPR174;P2RY8;GRM5;P2RY6;CXCR2;C3AR1;DRD1;DRD2;CMKLR1;DRD5;P2RY12;LHCGR;P2RY10;F2R;OPRK1;OPRM1;ADRA2A;CCKBR;F2RL1;VIP;F2RL2;GPR18;F2RL3
